iter	Passed	Remaining
0	143	143560
1	144	72021
2	145	48202
3	145	36308
4	146	29120
5	146	24328
6	147	20902
7	147	18332
8	148	16333
9	148	14733
10	149	13424
11	149	12334
12	150	11411
13	150	10619
14	151	9938
15	151	9346
16	152	8818
17	153	8348
18	153	7928
19	154	7550
20	154	7207
21	155	6897
22	156	6636
23	156	6375
24	157	6138
25	158	5922
26	158	5716
27	159	5524
28	159	5347
29	160	5181
30	160	5025
31	161	4878
32	161	4740
33	162	4610
34	162	4487
35	163	4371
36	163	4267
37	164	4166
38	165	4068
39	165	3974
40	166	3886
41	166	3802
42	167	3721
43	167	3644
44	168	3571
45	168	3500
46	169	3435
47	170	3372
48	170	3312
49	171	3253
50	171	3198
51	172	3145
52	173	3092
53	173	3041
54	174	2991
55	174	2943
56	175	2897
57	175	2853
58	176	2811
59	176	2770
60	177	2730
61	177	2692
62	178	2654
63	178	2617
64	179	2581
65	179	2546
66	180	2513
67	180	2480
68	181	2448
69	181	2417
70	182	2388
71	183	2359
72	183	2331
73	184	2304
74	184	2277
75	185	2251
76	185	2225
77	186	2200
78	186	2176
79	187	2152
80	187	2129
81	188	2107
82	188	2082
83	189	2061
84	189	2040
85	190	2020
86	190	2000
87	191	1980
88	191	1962
89	192	1943
90	192	1924
91	193	1907
92	193	1889
93	194	1872
94	194	1856
95	195	1840
96	195	1824
97	196	1808
98	196	1792
99	197	1777
100	197	1762
101	198	1747
102	198	1732
103	199	1718
104	199	1704
105	200	1690
106	201	1677
107	201	1664
108	202	1651
109	202	1638
110	203	1625
111	203	1613
112	203	1601
113	204	1589
114	204	1577
115	205	1565
116	205	1553
117	206	1542
118	206	1531
119	207	1521
120	207	1510
121	208	1499
122	208	1489
123	209	1479
124	209	1468
125	210	1459
126	210	1449
127	211	1439
128	211	1430
129	212	1420
130	212	1411
131	213	1402
132	213	1394
133	214	1385
134	214	1376
135	215	1368
136	215	1360
137	216	1351
138	216	1343
139	217	1335
140	217	1327
141	218	1319
142	218	1311
143	219	1303
144	219	1296
145	220	1289
146	220	1281
147	221	1274
148	221	1267
149	222	1260
150	222	1253
151	223	1246
152	223	1239
153	224	1232
154	224	1226
155	225	1220
156	226	1214
157	226	1208
158	227	1202
159	227	1196
160	228	1188
161	228	1182
162	229	1176
163	229	1170
164	230	1164
165	230	1158
166	231	1152
167	231	1147
168	232	1141
169	232	1136
170	233	1130
171	233	1125
172	234	1119
173	234	1114
174	235	1108
175	235	1103
176	236	1098
177	236	1093
178	237	1087
179	237	1082
180	238	1078
181	238	1073
182	239	1068
183	239	1063
184	240	1058
185	240	1053
186	241	1049
187	241	1044
188	242	1039
189	242	1035
190	243	1030
191	243	1026
192	244	1021
193	244	1017
194	245	1013
195	245	1008
196	246	1004
197	246	1000
198	247	995
199	247	991
200	248	987
201	248	983
202	249	979
203	249	975
204	250	971
205	250	967
206	251	963
207	252	959
208	252	955
209	253	951
210	253	948
211	254	944
212	254	940
213	255	936
214	255	932
215	256	929
216	256	925
217	257	922
218	257	918
219	258	914
220	258	911
221	259	907
222	259	904
223	260	900
224	260	897
225	261	894
226	261	890
227	262	887
228	262	884
229	263	881
230	263	877
231	264	874
232	264	871
233	265	868
234	265	865
235	266	862
236	266	858
237	267	855
238	267	852
239	268	849
240	268	846
241	269	843
242	269	840
243	270	837
244	270	834
245	271	832
246	271	829
247	272	826
248	272	823
249	273	820
250	274	817
251	274	814
252	275	812
253	275	809
254	276	806
255	276	803
256	277	801
257	277	798
258	278	795
259	278	792
260	279	790
261	279	788
262	280	785
263	280	783
264	281	780
265	282	778
266	282	776
267	283	773
268	283	770
269	284	768
270	284	766
271	285	763
272	285	761
273	286	758
274	286	756
275	287	754
276	288	752
277	288	749
278	289	747
279	289	744
280	290	742
281	290	740
282	291	737
283	291	735
284	292	733
285	292	731
286	293	729
287	293	726
288	294	724
289	295	722
290	295	720
291	296	717
292	296	715
293	297	713
294	297	711
295	298	709
296	298	706
297	299	704
298	299	702
299	300	700
300	300	698
301	301	695
302	301	693
303	302	691
304	302	689
305	303	687
306	303	685
307	304	683
308	304	681
309	305	679
310	305	677
311	306	675
312	306	673
313	307	671
314	307	669
315	308	667
316	308	665
317	309	663
318	309	661
319	310	659
320	310	657
321	311	655
322	311	653
323	312	651
324	312	649
325	313	648
326	314	646
327	314	644
328	315	642
329	315	640
330	316	639
331	316	637
332	317	635
333	317	633
334	318	631
335	318	629
336	319	628
337	319	626
338	320	624
339	320	622
340	321	621
341	321	619
342	322	617
343	322	615
344	323	614
345	324	612
346	324	610
347	325	609
348	325	607
349	326	605
350	326	604
351	327	602
352	327	600
353	328	599
354	328	597
355	329	595
356	329	593
357	330	592
358	330	590
359	331	589
360	331	587
361	332	585
362	332	584
363	333	582
364	333	580
365	334	579
366	334	577
367	335	576
368	335	574
369	336	572
370	337	571
371	337	569
372	338	568
373	338	566
374	339	565
375	339	563
376	340	562
377	340	560
378	341	558
379	341	557
380	342	555
381	342	554
382	343	552
383	343	551
384	344	549
385	344	548
386	345	546
387	345	545
388	346	543
389	346	542
390	347	540
391	347	539
392	348	537
393	348	536
394	349	534
395	349	533
396	350	532
397	350	530
398	351	529
399	351	527
400	352	526
401	352	524
402	353	523
403	353	522
404	354	520
405	355	519
406	355	518
407	356	516
408	356	515
409	357	513
410	357	512
411	358	510
412	358	509
413	359	508
414	359	506
415	359	505
416	360	503
417	361	502
418	361	501
419	362	499
420	362	498
421	363	497
422	363	495
423	364	494
424	364	493
425	365	491
426	365	490
427	366	489
428	366	487
429	367	486
430	367	485
431	368	484
432	368	482
433	369	481
434	369	480
435	370	478
436	370	477
437	371	476
438	371	474
439	372	473
440	372	472
441	373	471
442	373	469
443	374	468
444	374	467
445	375	466
446	375	465
447	376	463
448	377	462
449	377	461
450	378	460
451	378	459
452	379	458
453	380	457
454	381	456
455	381	455
456	382	454
457	382	453
458	383	451
459	383	450
460	384	449
461	384	448
462	385	447
463	386	446
464	386	444
465	387	443
466	387	442
467	388	441
468	388	440
469	389	439
470	389	437
471	390	436
472	390	435
473	391	434
474	392	433
475	392	432
476	393	431
477	393	429
478	394	428
479	394	427
480	395	426
481	395	425
482	396	424
483	396	422
484	397	421
485	397	420
486	398	419
487	399	418
488	399	417
489	400	416
490	400	415
491	401	414
492	401	413
493	402	411
494	403	411
495	403	410
496	404	408
497	404	407
498	405	406
499	405	405
500	406	404
501	406	403
502	407	402
503	407	401
504	408	400
505	408	399
506	409	398
507	409	396
508	410	396
509	411	394
510	411	393
511	412	392
512	412	391
513	413	390
514	413	389
515	414	388
516	414	387
517	415	386
518	415	385
519	416	384
520	417	383
521	417	382
522	418	381
523	418	380
524	419	379
525	419	378
526	420	377
527	420	376
528	421	374
529	421	373
530	422	372
531	422	372
532	423	371
533	424	370
534	424	369
535	425	367
536	425	366
537	426	365
538	426	364
539	427	363
540	427	362
541	428	361
542	428	360
543	429	359
544	429	358
545	430	357
546	431	356
547	431	355
548	432	354
549	432	353
550	433	352
551	433	352
552	434	351
553	435	350
554	435	349
555	436	348
556	437	347
557	437	346
558	438	345
559	438	344
560	439	343
561	439	342
562	440	341
563	441	341
564	441	340
565	442	339
566	442	338
567	443	337
568	444	336
569	444	335
570	445	334
571	445	333
572	446	332
573	446	331
574	447	330
575	448	330
576	448	329
577	449	328
578	449	327
579	450	326
580	451	325
581	451	324
582	452	323
583	452	322
584	453	321
585	453	320
586	454	319
587	455	318
588	455	317
589	456	316
590	456	315
591	457	315
592	457	314
593	458	313
594	458	312
595	459	311
596	460	310
597	460	309
598	461	308
599	461	307
600	462	306
601	462	305
602	463	304
603	463	303
604	464	302
605	464	302
606	465	301
607	466	300
608	466	299
609	467	298
610	467	297
611	468	296
612	468	295
613	469	294
614	469	294
615	470	293
616	470	292
617	471	291
618	472	290
619	472	289
620	473	288
621	473	287
622	474	286
623	474	286
624	475	285
625	475	284
626	476	283
627	476	282
628	477	281
629	478	280
630	478	279
631	479	279
632	479	278
633	480	277
634	480	276
635	481	275
636	481	274
637	482	273
638	482	272
639	483	271
640	484	271
641	484	270
642	485	269
643	485	268
644	486	267
645	486	266
646	487	265
647	487	265
648	488	264
649	488	263
650	489	262
651	489	261
652	490	260
653	491	259
654	491	258
655	492	258
656	492	257
657	493	256
658	493	255
659	494	254
660	494	253
661	495	252
662	495	251
663	496	251
664	496	250
665	497	249
666	497	248
667	498	247
668	499	246
669	499	246
670	500	245
671	500	244
672	501	243
673	501	242
674	502	241
675	502	241
676	503	240
677	503	239
678	504	238
679	504	237
680	505	236
681	505	235
682	506	235
683	506	234
684	507	233
685	508	232
686	508	231
687	509	230
688	509	230
689	510	229
690	510	228
691	511	227
692	511	226
693	512	225
694	512	225
695	513	224
696	513	223
697	514	222
698	515	221
699	515	221
700	516	220
701	516	219
702	517	218
703	517	217
704	518	216
705	518	216
706	519	215
707	519	214
708	520	213
709	520	212
710	521	211
711	522	211
712	522	210
713	523	209
714	523	208
715	524	207
716	524	207
717	525	206
718	525	205
719	526	204
720	526	203
721	527	203
722	527	202
723	528	201
724	528	200
725	529	199
726	530	199
727	530	198
728	531	197
729	531	196
730	532	195
731	532	195
732	533	194
733	533	193
734	534	192
